cod_cliente,cnpj,holding,nome_cliente,id_gerente_area,gerente_area,cidterritory,vendedor,endereco,uf,cidade,lat,long,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,sellout_ton_ytd,trend_l6m
100017152,14569191000111,REDE SHIBATA,EMPORIO KIMOTO LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV PRES GAL DUTRA,100,LJ 10 E 11, MOGI DAS CRUZES, SP, 08771-200, Brasil",SP,MOGI DAS CRUZES,-23.4674297,-46.2508043,0.5,,0.5,1.0,1.0,1.0,4.0,8.36558006,-0.015794088857142972
100018903,8359422000240,REDE ESTRELA DE,SUP SEMAR DE CESAR DE SOUZA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R SHOZO SAKAI,1647, MOGI DAS CRUZES, SP, 08743-010, Brasil",SP,MOGI DAS CRUZES,-23.5525714,-46.2240496,,1.0,,,,,1.0,14.223537570000001,-0.03042494342857133
100020991,50948371000844,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV OLIVIO RONCOLETTA,465,GALPAO 5, JUNDIAI, SP, 13214-306, Brasil",SP,JUNDIAI,-23.1709312,-46.91511029999999,,,,,,,,,
100020992,50948371000925,IRMAOS BOA,IRMAOS BOA LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV BERTIOGA,SN,LOTEEGLB, VARZEA PAULISTA, SP, 13225-000, Brasil",SP,VARZEA PAULISTA,-23.2200835,-46.8405469,,1.0,,,,,1.0,33.53010453,-0.004882280571428155
100022046,15347973000179,REDE NAGUMO,RIO BRASIL COM DE ALIMENTOS LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"V SERHIO BRAGA,951, VOLTA REDONDA, RJ, 27265-601, Brasil",RJ,VOLTA REDONDA,-22.5283605,-44.13445859999999,,1.0,,,,,1.0,,
100022057,10961551000256,REDE NAGUMO,MILBRASIL COML DE ALIMENTOS LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV BARAO DE MAUA,3232, MAUA, SP, 09340-440, Brasil",SP,MAUA,-23.6653798,-46.4311583,,1.0,,,,,1.0,,
100022092,7926885000284,REDE NAGUMO,SOLBRASIL COML DE PROD ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV PARANAGUA,2226, SAO PAULO, SP, 03806-000, Brasil",SP,SAO PAULO,-23.4864283,-46.4793657,,0.5,,,,,0.5,,
100022952,15061363000104,REDE SHIBATA,SHIBATA CACAPAVA ATC VJO MERC LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"ROD JOAO AMARAL GURGEL,980, CACAPAVA, SP, 12285-020, Brasil",SP,CACAPAVA,-23.119705,-45.7120603,,0.0,,,,,0.0,27.48578479,0.024443617714285576
100024235,15610121000122,REDE NAGUMO,SP BRASIL ATC VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV GERONIMO DE CAMARGO,4905, ATIBAIA, SP, 12944-000, Brasil",SP,ATIBAIA,-23.1138212,-46.5642426,,0.5,,,,,0.5,,
100028146,11132474000375,REDE ESTRELA DE,COMER COM MEL GENEROS ALIMENT LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV AMADOR BUENO DA VEIGA,2040, TAUBATE, SP, 12062-400, Brasil",SP,TAUBATE,-22.997696,-45.5397899,0.5,,0.5,0.5,1.0,1.0,3.5,12.449274599999999,-0.0023212722857143707
