cnpj,cod_cliente,cidcustomer,nome_cliente,vendedor,cidterritory,endereco,lat,long,uf,cidade,gerente_area,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,estrelas_total_eff,has_stars,star_need_abs,sellout_ton_ytd,s_sell12,trend_l6m,trend_need,s_trend,score,tem_estrelas,prioritario
10432515000114,156043272,156043272,SHIBATA EMPORIO LTDA,CRISTINA VAZ,2020306,"R OLEGARIO PAIVA,565, MOGI DAS CRUZES, SP, 08780-040, Brasil",-23.52104,-46.18756,SP,MOGI DAS CRUZES,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,16.58319072,0.643400492723486,0.0582812559999998,-0.0582812559999998,0.10518109385771504,0.6808535482591594,1,1
11132474000294,156043810,156043810,COMERCIAL COMP MEL DE GEN ALIM LTDA,CRISTINA VAZ,2020306,"AV SAO JOAO BOSCO, 1127, PINDAMONHANGABA, SP, 12403-010, Brasil",-22.9207307,-45.4481146,SP,PINDAMONHANGABA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,12.16577262,0.5240122974980173,-0.0093334551428571,0.0093334551428571,0.37204623002924436,0.6500322884924914,1,0
11132474000375,100028146,100028146,COMER COM MEL GENEROS ALIMENT LTDA,CRISTINA VAZ,2020306,"AV AMADOR BUENO DA VEIGA,2040, TAUBATE, SP, 12062-400, Brasil",-22.997696,-45.5397899,SP,TAUBATE,GUSTAVO OLIVEIRA,0.5,,0.5,0.5,1.0,1.0,3.5,3.5,0.8333333333333334,0.3,12.4492746,0.532803612944336,-0.0023212722857143,0.0023212722857143,0.3443701947197484,0.4097793666858879,1,0
11132474000456,100037588,100037588,COML COMPRE MELHOR DE GENEROS,CRISTINA VAZ,2020306,"AV ANCHIETA,2141, BERTIOGA, SP, 11250-000, Brasil",-23.8373074,-46.1321725,SP,BERTIOGA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,14.0934108,0.5803954616106201,-0.0096745888571427,0.0096745888571427,0.37339263369757003,0.666357306961565,1,1
14569191000111,100017152,100017152,EMPORIO KIMOTO LTDA,CRISTINA VAZ,2020306,"AV PRES GAL DUTRA,100,LJ 10 E 11, MOGI DAS CRUZES, SP, 08771-200, Brasil",-23.4674297,-46.2508043,SP,MOGI DAS CRUZES,GUSTAVO OLIVEIRA,0.5,,0.5,1.0,1.0,1.0,4.0,4.0,0.8333333333333334,0.2,8.36558006,0.3834733443644397,-0.0157940888571429,0.0157940888571429,0.3975453834941541,0.32982352600775455,1,0
15061363000104,100022952,100022952,SHIBATA CACAPAVA ATC VJO MERC LTDA,CRISTINA VAZ,2020306,"ROD JOAO AMARAL GURGEL,980, CACAPAVA, SP, 12285-020, Brasil",-23.119705,-45.7120603,SP,CACAPAVA,GUSTAVO OLIVEIRA,,0.0,,,,,0.0,0.0,0.16666666666666666,1.0,27.48578479,0.842486862899215,0.0244436177142855,-0.0244436177142855,0.23873318328040388,0.8104680607495531,1,1
1664908000243,156047286,156047286,CCM COML CREME MARFIM LTDA,CRISTINA VAZ,2020306,"AV NOVE DE JULHO,1450, POA, SP, 08557-100, Brasil",-23.5129715,-46.3387591,SP,POA,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
17349548000144,100035858,100035858,SK SUPS LTDA,CRISTINA VAZ,2020306,"R ZEFERINO VAISSET,08, MOGI DAS CRUZES, SP, 08820-040, Brasil",-23.5047505,-46.1522026,SP,MOGI DAS CRUZES,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,15.86591599,0.6262143300314319,-0.0095888034285715,0.0095888034285715,0.3730540514616892,0.726851353836679,1,1
17349548000225,100065467,100065467,SK SUPS LTDA,CRISTINA VAZ,2020306,"AV SOLON PEREIRA,500, APARECIDA, SP, 12570-000, Brasil",-22.8440769,-45.2425352,SP,APARECIDA,GUSTAVO OLIVEIRA,,1.0,,,,,1.0,1.0,0.16666666666666666,0.8,34.20165552,0.9298392307391078,0.0362050922857141,-0.0362050922857141,0.19231240502031868,0.7315435377145063,1,1
17349548000306,100105005,100105005,SK SUPERMERCADOS LTDA,CRISTINA VAZ,2020306,"AV DOUTOR ASSIS RIBEIRO,10170, SAO PAULO, SP, 03827-001, Brasil",-23.4907646,-46.4638674,SP,SAO PAULO,GUSTAVO OLIVEIRA,,0.5,,,,,0.5,0.5,0.16666666666666666,0.9,27.58233602,0.8438831452064592,0.0367128131428568,-0.0367128131428568,0.19030850685395306,0.754165312686092,1,1
